,0
1810,9804
1811,9805
1812,9806
1813,9810
1814,9818
1815,9829
1816,9832
1817,9843
1818,9844
1819,9856
1820,9863
1821,9865
1822,9868
1823,9875
1824,9877
1825,9879
1826,9884
1827,9885
1828,9886
1829,9890
1830,9893
1831,9900
1832,9906
1833,9912
1834,9916
1835,9918
1836,9920
1837,9924
1838,9931
1839,9937
1840,9941
1841,9951
1842,9955
1843,9958
1844,9960
1845,9963
1846,9964
1847,9973
1848,9974
1849,9977
1850,9981
1851,9996
1852,10001
1853,10022
1854,10025
1855,10029
1856,10034
1857,10049
1858,10054
1859,10058
1860,10061
1861,10064
1862,10077
1863,10082
1864,10084
1865,10093
1866,10113
1867,10122
1868,10137
1869,10139
1870,10143
1871,10147
1872,10165
1873,10196
1874,10197
1875,10199
1876,10200
1877,10205
1878,10206
1879,10208
1880,10213
1881,10219
1882,10236
1883,10238
1884,10252
1885,10257
1886,10269
1887,10278
1888,10289
1889,10293
1890,10298
1891,10299
1892,10305
1893,10307
1894,10313
1895,10314
1896,10317
1897,10326
1898,10344
1899,10350
1900,10353
1901,10363
1902,10372
1903,10383
1904,10387
1905,10392
1906,10393
1907,10396
1908,10401
1909,10407
1910,10410
1911,10414
1912,10421
1913,10422
1914,10423
1915,10430
1916,10437
1917,10442
1918,10453
1919,10458
1920,10469
1921,10470
1922,10474
1923,10475
1924,10492
1925,10500
1926,10519
1927,10523
1928,10525
1929,10550
1930,10563
1931,10569
1932,10570
1933,10578
1934,10583
1935,10585
1936,10586
1937,10601
1938,10602
1939,10607
1940,10613
1941,10620
1942,10625
1943,10630
1944,10638
1945,10641
1946,10653
1947,10661
1948,10662
1949,10667
1950,10673
1951,10674
1952,10675
1953,10686
1954,10694
1955,10706
1956,10709
1957,10716
1958,10719
1959,10728
1960,10731
1961,10734
1962,10739
1963,10746
1964,10748
1965,10755
1966,10772
1967,10775
1968,10778
1969,10789
1970,10795
1971,10802
1972,10808
1973,10811
1974,10816
1975,10827
1976,10830
1977,10835
1978,10838
1979,10841
1980,10851
1981,10855
1982,10856
1983,10859
1984,10862
1985,10894
1986,10907
1987,10914
1988,10917
1989,10924
1990,10937
1991,10938
1992,10943
1993,10962
1994,10963
1995,10975
1996,10976
1997,10979
1998,10993
1999,10998
2000,11003
2001,11013
2002,11018
2003,11020
2004,11026
2005,11029
2006,11031
2007,11032
2008,11034
2009,11037
2010,11043
2011,11048
2012,11051
2013,11069
2014,11070
2015,11078
2016,11083
2017,11090
2018,11117
2019,11125
2020,11131
2021,11132
2022,11134
2023,11138
2024,11139
2025,11142
2026,11144
2027,11146
2028,11153
2029,11154
2030,11155
2031,11161
2032,11167
2033,11169
2034,11182
2035,11184
2036,11185
2037,11186
2038,11187
2039,11189
2040,11194
2041,11196
2042,11199
2043,11201
2044,11203
2045,11205
2046,11212
2047,11220
2048,11224
2049,11236
2050,11241
2051,11244
2052,11247
2053,11253
2054,11265
2055,11267
2056,11277
2057,11279
2058,11284
2059,11288
2060,11292
2061,11299
2062,11302
2063,11316
2064,11317
2065,11322
2066,11334
2067,11341
2068,11353
2069,11356
2070,11360
2071,11370
2072,11376
2073,11383
2074,11385
2075,11387
2076,11390
2077,11399
2078,11414
2079,11418
2080,11419
2081,11420
2082,11424
2083,11426
2084,11430
2085,11444
2086,11450
2087,11458
2088,11464
2089,11465
2090,11468
2091,11469
2092,11473
2093,11475
2094,11478
2095,11481
2096,11483
2097,11484
2098,11486
2099,11489
2100,11505
2101,11509
2102,11521
2103,11522
2104,11532
2105,11547
2106,11560
2107,11566
2108,11568
2109,11570
2110,11575
2111,11576
2112,11577
2113,11595
2114,11596
2115,11598
2116,11610
2117,11617
2118,11619
2119,11636
2120,11644
2121,11646
2122,11648
2123,11650
2124,11651
2125,11652
2126,11653
2127,11663
2128,11668
2129,11673
2130,11679
2131,11686
2132,11692
2133,11700
2134,11705
2135,11709
2136,11713
2137,11716
2138,11721
2139,11729
2140,11741
2141,11744
2142,11756
2143,11764
2144,11768
2145,11769
2146,11772
2147,11781
2148,11784
2149,11786
2150,11792
2151,11795
2152,11803
2153,11806
2154,11807
2155,11808
2156,11815
2157,11817
2158,11822
2159,11830
2160,11831
2161,11833
2162,11847
2163,11854
2164,11860
2165,11863
2166,11871
2167,11876
2168,11881
2169,11883
2170,11884
2171,11911
2172,11912
2173,11914
2174,11932
2175,11933
2176,11939
2177,11950
2178,11951
2179,11953
2180,11955
2181,11958
2182,11962
2183,11981
2184,11982
2185,11988
2186,11989
2187,11992
2188,11994
2189,12000
2190,12032
2191,12034
2192,12035
2193,12037
2194,12042
2195,12048
2196,12051
2197,12052
2198,12053
2199,12055
2200,12068
2201,12074
2202,12075
2203,12077
2204,12079
2205,12084
2206,12088
2207,12099
2208,12102
2209,12107
2210,12119
2211,12122
2212,12123
2213,12124
2214,12128
2215,12131
2216,12132
2217,12134
2218,12138
2219,12139
2220,12140
2221,12142
2222,12144
2223,12147
2224,12153
2225,12160
2226,12161
2227,12163
2228,12164
2229,12168
2230,12176
2231,12178
2232,12197
2233,12200
2234,12202
2235,12204
2236,12205
2237,12206
2238,12207
2239,12234
2240,12237
2241,12239
2242,12248
2243,12250
2244,12255
2245,12256
2246,12267
2247,12277
2248,12279
2249,12280
2250,12294
2251,12303
2252,12304
2253,12320
2254,12323
2255,12329
2256,12331
2257,12342
2258,12349
2259,12352
2260,12353
2261,12359
2262,12362
2263,12368
2264,12371
2265,12377
2266,12387
2267,12395
2268,12396
2269,12398
2270,12400
2271,12401
2272,12408
2273,12411
2274,12421
2275,12422
2276,12430
2277,12445
2278,12448
2279,12456
2280,12465
2281,12466
2282,12468
2283,12473
2284,12476
2285,12477
2286,12478
2287,12486
2288,12505
2289,12509
2290,12511
2291,12519
2292,12522
2293,12529
2294,12532
2295,12539
2296,12540
2297,12541
2298,12547
2299,12549
2300,12558
2301,12559
2302,12565
2303,12566
2304,12571
2305,12591
2306,12592
2307,12597
2308,12602
2309,12618
2310,12619
2311,12621
2312,12636
2313,12637
2314,12638
2315,12641
2316,12648
2317,12651
2318,12656
2319,12665
2320,12667
2321,12674
2322,12682
2323,12687
2324,12688
2325,12696
2326,12715
2327,12720
2328,12721
2329,12726
2330,12728
2331,12732
2332,12739
2333,12740
2334,12747
2335,12748
2336,12757
2337,12766
2338,12767
2339,12771
2340,12774
2341,12785
2342,12788
2343,12794
2344,12795
2345,12804
2346,12805
2347,12811
2348,12814
2349,12820
2350,12821
2351,12829
2352,12841
2353,12869
2354,12878
2355,12883
2356,12884
2357,12893
2358,12898
2359,12903
2360,12908
2361,12910
2362,12930
2363,12942
2364,12957
2365,12959
2366,12960
2367,12971
2368,12981
2369,12992
2370,12997
2371,13022
2372,13023
2373,13028
2374,13042
2375,13053
2376,13056
2377,13061
2378,13068
2379,13069
2380,13077
2381,13080
2382,13087
2383,13089
2384,13093
2385,13095
2386,13099
2387,13103
2388,13105
2389,13106
2390,13116
2391,13119
2392,13121
2393,13127
2394,13130
2395,13136
2396,13138
2397,13141
2398,13143
2399,13152
2400,13157
2401,13159
2402,13176
2403,13179
2404,13181
2405,13196
2406,13197
2407,13206
2408,13216
2409,13228
2410,13229
2411,13230
2412,13240
2413,13242
2414,13244
2415,13252
2416,13274
2417,13276
2418,13288
2419,13303
2420,13304
2421,13314
2422,13328
2423,13329
2424,13361
2425,13364
2426,13373
2427,13391
2428,13401
2429,13412
2430,13416
2431,13426
2432,13427
2433,13429
2434,13436
2435,13444
2436,13469
2437,13475
2438,13476
2439,13477
2440,13478
2441,13487
2442,13505
2443,13508
2444,13518
2445,13520
2446,13524
2447,13525
2448,13540
2449,13547
2450,13550
2451,13551
2452,13558
2453,13585
2454,13587
2455,13605
2456,13609
2457,13617
2458,13623
2459,13628
2460,13638
2461,13643
2462,13646
2463,13660
2464,13669
2465,13671
2466,13687
2467,13697
2468,13709
2469,13719
2470,13729
2471,13734
2472,13736
2473,13738
2474,13739
2475,13740
2476,13753
2477,13760
2478,13761
2479,13762
2480,13765
2481,13772
2482,13779
2483,13781
2484,13785
2485,13801
2486,13816
2487,13817
2488,13829
2489,13830
2490,13834
2491,13845
2492,13848
2493,13856
2494,13859
2495,13863
2496,13867
2497,13868
2498,13870
2499,13872
2500,13874
2501,13878
2502,13888
2503,13889
2504,13896
2505,13899
2506,13904
2507,13914
2508,13915
2509,13928
2510,13931
2511,13935
2512,13936
2513,13941
2514,13943
2515,13946
2516,13950
2517,13952
2518,13953
2519,13956
2520,13958
2521,13965
2522,13979
2523,13986
2524,13992
2525,14009
2526,14019
2527,14021
